VARIABLES = "X", "Y", "Speed", "P", "M","H", "S", "Xvel", "Yvel","F0", "G0", "rho", "RES0", "RES1", "RES2", "RES3" 
ZONE T = "CELL CENTERS AT TIMESTEP 0 ", I = 129 , J = 64, F=POINT 

0.682015 -0.0777328 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.474828 265.847 -1454.96 149102
0.658715 -0.080568 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.342697 191.869 -1169.64 107611
0.635023 -0.0832545 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.206714 115.736 -747.109 64910.9
0.61099 -0.0857787 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.125287 70.1456 -478.426 39341.6
0.586675 -0.088125 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.0670599 37.5456 -248.15 21057.7
0.562142 -0.0902828 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.0169221 9.47434 58.0982 5313.74
0.53745 -0.0922363 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -0.0148418 -8.30965 392.969 -4660.52
0.512652 -0.0939713 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -0.0207285 -11.6055 700.888 -6509.02
0.487812 -0.0954788 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 -0.00319856 -1.79081 1046.94 -1004.39
0.46299 -0.0967417 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.0358154 20.0524 1221.39 11246.5
0.438245 -0.097749 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.103956 58.203 1620.49 32643.5
0.413637 -0.0984872 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.188742 105.673 1852.6 59267.5
0.389228 -0.0989478 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.322052 180.311 2273.48 101128
0.365075 -0.0991203 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.459575 257.307 2500.31 144312
0.341235 -0.098995 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.675922 378.436 2957.77 212248
0.317767 -0.0985648 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 0.878571 491.896 3185.62 275883
0.29473 -0.0978207 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 1.13831 637.319 3499.31 357444
0.27218 -0.09676 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 1.52723 855.068 4040.72 479570
0.250167 -0.095378 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 1.90386 1065.93 4374.68 597835
0.22875 -0.0936707 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 2.32839 1303.62 4705.78 731144
0.207983 -0.0916425 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 2.94289 1647.67 5256.38 924105
0.18791 -0.0892945 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 3.5458 1985.23 5630.53 1.11343e+06
0.168588 -0.0866263 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 4.27782 2395.07 6062.1 1.34329e+06
0.15006 -0.0836465 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 5.20389 2913.56 6597.18 1.63409e+06
0.13237 -0.0803615 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 6.37397 3568.67 7241.92 2.00151e+06
0.115565 -0.0767795 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 7.60504 4257.92 7748.83 2.38808e+06
0.0996848 -0.072911 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 9.27585 5193.37 8476.45 2.91273e+06
0.0847663 -0.068768 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 11.1565 6246.3 9127.65 3.50327e+06
0.0708483 -0.0643637 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 13.5161 7567.44 9873.53 4.24424e+06
0.0579642 -0.0597117 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 16.453 9211.72 10688.2 5.16645e+06
0.046146 -0.054827 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 20.0668 11235 11525.1 6.30124e+06
0.0354223 -0.0497255 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 24.5989 13772.5 12391.4 7.72437e+06
0.0258195 -0.044423 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 30.2942 16961.2 13239.9 9.51277e+06
0.0173618 -0.038936 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 37.355 20914.4 13952.9 1.173e+07
0.0100696 -0.0332812 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 45.9844 25745.8 14373.1 1.44397e+07
0.0039613 -0.0274755 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 56.1942 31462.1 14254 1.76457e+07
-0.000947005 -0.0215362 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 67.0742 37553.6 13166.3 2.10621e+07
-0.00464211 -0.0154825 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 76.7801 42987.8 10758.8 2.41099e+07
-0.0071129 -0.0093348 281.518 101325 0.85 314013 3295.47 281.518 0 364.003 0 1.293 82.0354 45930.1 6951.37 2.57602e+07
